group_id,name,project,phase,role,degree,neighbors,group_status
1,6_2.pine,orb,legacy,PINE_SOURCE,0,,GROUP_MOVE_CANDIDATE
2,PM + PD Breakout Monitor - V4 8H-7 Parity Capture.pine,pmpd,v4,PINE_SOURCE,2,extract_9n_v4_source_semantics_utf8_v1.py | extract_9n_v4_source_semantics_v1.py,HOLD_SENSITIVE_GROUP
2,PM + PD Breakout Monitor - V4 Forward Validation FINAL.pine,pmpd,v4,CANONICAL_OR_FROZEN,2,extract_9n_v4_source_semantics_utf8_v1.py | extract_9n_v4_source_semantics_v1.py,HOLD_SENSITIVE_GROUP
2,PM_PD_Breakout_V4_8H7_Parity_Capture.pine,pmpd,v4,PINE_SOURCE,3,certify_9n_v4_engine_semantics_v2.py | extract_9n_v4_source_semantics_utf8_v1.py | extract_9n_v4_source_semantics_v1.py,HOLD_SENSITIVE_GROUP
2,PM_PD_Breakout_V4_8H7_Parity_Capture_FULL.pine,pmpd,v4,PINE_SOURCE,7,certify_9n_v4_engine_semantics_v2.py | extract_9n_v4_source_semantics_utf8_v1.py | extract_9n_v4_source_semantics_v1.py | inspect_v4_parity_validation.py | patch_9n_3f2_compact_csv_parity.py | patch_9n_3f3_robust_compact_csv_parity.py | patch_9n_3f_csv_parity_export.py,HOLD_SENSITIVE_GROUP
2,PM_PD_Breakout_V4_9N_3F3_COMPACT_CSV_Parity_Export.pine,pmpd,9n,PINE_SOURCE,2,patch_9n_3f3_robust_compact_csv_parity.py | patch_9n_3f4_data_window_csv_export.py,HOLD_SENSITIVE_GROUP
2,PM_PD_Breakout_V4_9N_3F4_DATA_WINDOW_CSV_Parity_Export.pine,pmpd,9n,PINE_SOURCE,2,patch_9n_3f4_data_window_csv_export.py | patch_9n_3f5_frozen_date_level_export.py,HOLD_SENSITIVE_GROUP
2,PM_PD_Breakout_V4_9N_3F5_FROZEN_DATE_LEVEL_CSV_Parity_Export.pine,pmpd,9n,CANONICAL_OR_FROZEN,1,patch_9n_3f5_frozen_date_level_export.py,HOLD_SENSITIVE_GROUP
2,PM_PD_Breakout_V4_9N_3F_CSV_Parity_Export.pine,pmpd,9n,PINE_SOURCE,1,patch_9n_3f_csv_parity_export.py,HOLD_SENSITIVE_GROUP
2,certify_9n_v4_engine_semantics_v2.py,pmpd,9n,AUDIT_DIAGNOSTIC,3,PM_PD_Breakout_V4_8H7_Parity_Capture.pine | PM_PD_Breakout_V4_8H7_Parity_Capture_FULL.pine | v4_parity_engine_v2.py,HOLD_SENSITIVE_GROUP
2,extract_9n_v4_source_semantics_utf8_v1.py,pmpd,9n,RESEARCH_OR_UTILITY,4,PM + PD Breakout Monitor - V4 8H-7 Parity Capture.pine | PM + PD Breakout Monitor - V4 Forward Validation FINAL.pine | PM_PD_Breakout_V4_8H7_Parity_Capture.pine | PM_PD_Breakout_V4_8H7_Parity_Capture_FULL.pine,HOLD_SENSITIVE_GROUP
2,extract_9n_v4_source_semantics_v1.py,pmpd,9n,RESEARCH_OR_UTILITY,4,PM + PD Breakout Monitor - V4 8H-7 Parity Capture.pine | PM + PD Breakout Monitor - V4 Forward Validation FINAL.pine | PM_PD_Breakout_V4_8H7_Parity_Capture.pine | PM_PD_Breakout_V4_8H7_Parity_Capture_FULL.pine,HOLD_SENSITIVE_GROUP
2,inspect_v4_parity_validation.py,pmpd,v4,AUDIT_DIAGNOSTIC,1,PM_PD_Breakout_V4_8H7_Parity_Capture_FULL.pine,HOLD_SENSITIVE_GROUP
2,patch_9n_3f2_compact_csv_parity.py,pmpd,9n,PATCH_OR_FIX,1,PM_PD_Breakout_V4_8H7_Parity_Capture_FULL.pine,HOLD_SENSITIVE_GROUP
2,patch_9n_3f3_robust_compact_csv_parity.py,pmpd,9n,PATCH_OR_FIX,2,PM_PD_Breakout_V4_8H7_Parity_Capture_FULL.pine | PM_PD_Breakout_V4_9N_3F3_COMPACT_CSV_Parity_Export.pine,HOLD_SENSITIVE_GROUP
2,patch_9n_3f4_data_window_csv_export.py,pmpd,9n,PATCH_OR_FIX,2,PM_PD_Breakout_V4_9N_3F3_COMPACT_CSV_Parity_Export.pine | PM_PD_Breakout_V4_9N_3F4_DATA_WINDOW_CSV_Parity_Export.pine,HOLD_SENSITIVE_GROUP
2,patch_9n_3f5_frozen_date_level_export.py,pmpd,9n,CANONICAL_OR_FROZEN,2,PM_PD_Breakout_V4_9N_3F4_DATA_WINDOW_CSV_Parity_Export.pine | PM_PD_Breakout_V4_9N_3F5_FROZEN_DATE_LEVEL_CSV_Parity_Export.pine,HOLD_SENSITIVE_GROUP
2,patch_9n_3f_csv_parity_export.py,pmpd,9n,PATCH_OR_FIX,2,PM_PD_Breakout_V4_8H7_Parity_Capture_FULL.pine | PM_PD_Breakout_V4_9N_3F_CSV_Parity_Export.pine,HOLD_SENSITIVE_GROUP
2,run_9n_3g2_vrtx_first_parity_case.py,pmpd,9n,RESEARCH_OR_UTILITY,1,v4_parity_engine_v2.py,HOLD_SENSITIVE_GROUP
2,run_9n_3g3_vrtx_first_parity_case.py,pmpd,9n,RESEARCH_OR_UTILITY,1,v4_parity_engine_v2.py,HOLD_SENSITIVE_GROUP
